city,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
四平,77,56,87,0.73,15,65,43,24
松原,60,42,66,0.4,11,69,41,14
绥化,55,33,57,1.0,16,66,44,18
遂宁,83,61,93,1.03,42,27,10,10
随州,175,132,153,1.57,33,72,41,9
宿迁,277,226,219,1.88,42,68,34,25
苏州,175,132,178,1.3,48,75,62,26
宿州,251,200,190,1.4,42,54,27,21
塔城地区,70,50,78,1.9,25,72,71,5
泰安,177,133,177,1.5,58,36,13,31
太仓,154,117,175,1.1,35,81,55,27
太原,60,23,68,0.83,26,59,44,36
台州,81,59,76,1.23,15,83,60,10
泰州,249,198,223,2.08,40,83,45,26
唐山,62,17,72,0.52,15,78,53,8
天津,64,23,76,1.0,28,62,44,14
天水,54,35,55,0.63,16,76,53,26
铁岭,25,8,24,0.3,9,70,43,10
铜川,31,13,25,1.1,13,83,61,21
通化,69,36,85,0.45,17,61,26,32
通辽,31,8,27,0.47,8,76,61,12
铜陵,172,130,140,1.23,25,78,73,15
铜仁地区,73,50,94,1.45,30,26,28,6
吐鲁番地区,58,40,63,1.05,33,42,26,16
瓦房店,37,10,26,0.25,9,81,73,9
潍坊,143,109,190,1.06,20,68,30,31
威海,108,13,164,0.33,4,82,72,4
渭南,76,55,92,0.88,41,41,15,23
文登,88,11,123,0.55,12,83,70,5
文山州,27,13,26,0.9,17,37,36,3
温州,45,31,21,0.63,17,62,40,9
乌海,150,115,196,2.1,45,29,23,76
武汉,120,90,108,0.91,27,78,70,11
芜湖,224,173,0,1.23,28,126,89,18
吴江,182,137,173,1.77,42,67,58,27
五家渠,269,218,266,2.6,55,20,13,8
乌兰察布,29,5,14,0.6,8,77,57,26
乌鲁木齐,177,133,185,3.21,66,26,19,20
武威,45,17,44,0.5,13,68,51,6
无锡,206,155,181,2.03,44,67,52,31
吴忠,75,42,97,0.77,18,48,29,32
梧州,50,35,44,0.77,21,57,56,8
厦门,26,14,25,0.75,23,35,35,5
西安,64,44,75,1.33,44,51,27,26
湘潭,141,107,130,0.95,25,97,84,13
湘西州,116,87,117,1.1,21,46,33,13
襄阳,284,233,240,1.7,42,66,38,28
咸宁,97,72,0,1.45,19,83,64,3
咸阳,77,56,94,1.02,39,51,26,21
孝感,126,95,108,1.6,22,74,67,20
锡林郭勒盟,39,12,38,0.1,8,83,67,25
兴安盟,32,5,5,0.37,3,77,63,9
邢台,182,137,181,1.85,62,39,17,41
西宁,106,79,142,3.6,42,34,23,42
新乡,61,32,70,1.18,38,46,30,31
信阳,158,120,144,1.13,24,95,63,11
新余,76,55,69,0.58,13,58,49,10
忻州,50,20,49,0.77,27,62,23,26
西双版纳州,59,41,58,0.7,34,56,21,7
宣城,161,122,0,1.17,17,94,83,16
许昌,49,12,48,0.9,16,70,54,17
徐州,314,263,258,1.57,36,47,25,19
雅安,153,116,141,1.1,26,67,57,9
延安,66,31,80,1.45,35,49,26,89
延边州,40,11,37,0.37,7,84,78,13
盐城,133,101,155,1.12,24,76,51,18
阳江,45,19,44,0.97,13,31,29,7
阳泉,61,27,70,1.0,24,66,44,48
扬州,189,142,238,1.48,25,78,44,14
烟台,97,14,142,0.63,16,72,52,11
宜宾,96,71,96,1.27,43,25,7,25
宜昌,158,120,143,1.5,35,39,19,13
宜春,100,75,89,1.12,18,34,30,24
伊春,30,21,0,0.47,7,64,38,13
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,268,217,283,3.73,61,27,10,125
银川,75,45,98,1.23,26,57,40,98
营口,37,11,36,0.13,16,81,55,9
鹰潭,71,51,0,0.53,13,56,51,4
义乌,105,78,88,0.95,22,82,66,9
宜兴,253,202,205,2.55,41,76,55,31
益阳,106,79,108,1.34,11,95,69,17
永州,142,108,127,0.92,20,105,94,12
岳阳,100,75,88,1.22,14,79,74,9
玉林,27,16,20,1.1,15,56,53,6
榆林,37,10,36,1.2,23,59,22,21
运城,52,27,51,0.66,12,70,45,28
云浮,20,14,0,0.67,16,38,39,8
玉树州,66,35,80,0.4,8,70,38,27
玉溪,60,42,64,0.97,15,46,18,11
枣庄,274,223,282,1.76,32,52,28,26
张家港,132,100,157,1.0,33,83,56,20
张家界,124,93,114,1.5,28,59,49,9
张家口,42,14,41,0.62,10,86,77,7
章丘,216,165,238,1.8,39,56,33,31
张掖,29,4,21,0.2,4,67,57,7
漳州,16,7,15,0.83,17,17,14,9
湛江,21,9,19,0.88,14,40,41,13
肇庆,18,12,14,0.8,19,35,35,5
昭通,65,42,78,1.25,19,59,63,16
招远,89,4,125,0.5,13,57,39,5
郑州,68,20,84,0.74,23,64,48,25
镇江,257,206,0,1.38,49,71,43,28
中山,20,13,19,0.93,31,18,20,6
中卫,93,69,91,1.2,21,52,30,35
周口,74,27,96,1.05,19,73,44,24
舟山,92,68,96,1.47,20,74,72,14
珠海,25,15,24,0.93,27,35,32,10
诸暨,149,114,124,0.6,19,90,69,16
驻马店,43,21,42,0.53,19,87,71,16
株洲,121,91,121,0.72,25,76,66,13
淄博,92,68,131,1.38,22,66,34,22
自贡,126,95,107,1.25,50,24,18,18
资阳,86,63,100,0.92,31,45,16,5
遵义,56,39,48,0.8,21,47,45,16
